title,publication_date,author,url,primary_topic,primary_category,teaser,market_items
A Beginner's Guide to Regular Expressions in JavaScript,25 May 2018,Monty Shokeen,https://code.tutsplus.com/tutorials/a-beginners-guide-to-regular-expressions-in-javascript--cms-31130,Code,,"Regular expressions let you to manipulate strings with your code. They're very powerful, but they have a special syntax that can be confusing. This tutorial...",
Augmented Reality With ARKit: Feature Points and Horizontal Plane Detection,28 May 2018,Vardhan Agrawal,https://code.tutsplus.com/tutorials/augmented-reality-with-arkit-feature-points-and-horizontal-plane-detection--cms-30839,Code,,"By now, you may have used an augmented reality app on your iPhone, with virtual objects that appear lifelike and blend in well with the features of the...",
How to Take Constructive Criticism Like a Professional,25 May 2018,Charley Mendoza,https://business.tutsplus.com/articles/how-to-take-constructive-criticism--cms-31176,Business,,Do you get defensive when taking criticism at work? Here's how you can accept  constructive criticism and use it to improve.,
Introduction to Popmotion: Custom Animation Scrubber,25 May 2018,Matt Perry,https://code.tutsplus.com/tutorials/introduction-to-popmotion-part-3-custom-animation-scrubber--cms-30560,Code,,"In this final part of our Popmotion series, we take everything we've learned so far to create a custom animation scrubber. We'll use some light functional...",
How to Create a New Session in Pro Tools,25 May 2018,Sudhin Venu,https://music.tutsplus.com/tutorials/creating-a-new-session-in-pro-tools--cms-30991,Music & Audio,,"In this tutorial, I'll teach you the basics of creating a session in Pro Tools. You will learn how to create templates, set the file formats, sample rate,...",
8 Best Backup Software for Mac in 2018 (Free + Paid),26 May 2018,Harry Guinness,https://business.tutsplus.com/articles/best-backup-software-for-mac-in-2018--cms-31174,Business,,Solid Mac backup software is the only way to keep your data safe. Anything could happen to your Mac. Let's look at eight of the best apps.,
"How to Learn to Draw: Stage Three, Visual Database",25 May 2018,Monika Zagrobelna,https://design.tutsplus.com/tutorials/how-to-learn-to-draw-stage-three-visual-database--cms-24325,Design & Illustration,,"Did you finish the previous part long ago, and now you're ready for a bigger challenge? Or maybe you're an artist guilty of saying, ""I can't draw from...",
How to Create a Glitch Effect Poster in Adobe Illustrator and Photoshop,25 May 2018,Laura Keung,https://design.tutsplus.com/tutorials/how-to-create-a-glitch-effect-using-the-displace-tool--cms-31107,Design & Illustration,,The glitch effect is a major trend in 2018 and is quickly becoming a desirable effect that creates a nostalgic feel related to VHS. Here is an easy technique...,
15+ Education PowerPoint Templates - For Great School Presentations,25 May 2018,Sean Hodge,https://business.tutsplus.com/articles/education-powerpoint-templates--cms-27429,Business,,"Here are over fifteen education PowerPoint templates to put to use. They’re made for teachers, students, and academics to design better school PPT...","3079202,5084641,7404182,8527176,9836090,10348960,10955645,12165048,12896117,14293362,14875335,16081472,16244701,17757906,17764247"
How to Draw a Cow,28 May 2018,Monika Zagrobelna,https://design.tutsplus.com/tutorials/how-to-draw-a-cow--cms-31050,Design & Illustration,,"Do you want to learn how to draw a realistic cow? In this tutorial I will lead you through the process, explaining every little step in detail.",
How to Create a Traditional Indian Kolam Pattern in Adobe Illustrator,24 May 2018,Nataliya Dolotko,http://design.tutsplus.com/tutorials/how-to-create-a-traditional-indian-pattern-kolam-in-adobe-illustrator--cms-31084,Design & Illustration,,"Are you interested in Indian culture? If so, read this tutorial and learn how to create a traditional Indian pattern called kolam in Adobe Illustrator.",
12 Best Online Photo Editors for Filters and Effects (Free + Paid),25 May 2018,Melody Nieves,https://design.tutsplus.com/articles/best-online-photo-editors-for-filters-and-effects-free-paid--cms-31126,Design & Illustration,,New to photo editing and looking for free photo editing software? Check out this list of the best photo editors for exciting effects and filters.,
"18+ Best Google Sheets Spreadsheet Tutorials for 2018 ",24 May 2018,Andrew Childress,https://business.tutsplus.com/tutorials/best-google-sheets-spreadsheet-tutorials-for-2018--cms-31125,Business,,Check out 18 of the best Google Sheets tutorials from Envato Tuts+ to learn how to use Google Sheets from scratch.,
How to Design Gradient-Based Logos in Adobe Illustrator,23 May 2018,Daniel White,http://design.tutsplus.com/tutorials/logo-design-with-gradients--cms-31158,Design & Illustration,,"In this video from my course, 10 Essential Design Tips in Adobe Illustrator, you’ll learn how to create gradient-based logos, primarily using only two...",
New Short Course on Slider Revolution for WordPress,24 May 2018,Andrew Blackman,https://webdesign.tutsplus.com/articles/new-course-on-slider-revolution-for-wordpress--cms-31202,Web Design,,"If you need to add a slider to your website, the simplest solution is to use Slider Revolution, one of the most successful slider plugins sold on Envato...",2751380
How to Make Watercolor Effects in Photoshop Quickly With Actions,24 May 2018,Marko Kožokar,https://design.tutsplus.com/tutorials/how-to-create-a-watercolor-photoshop-effect-action--cms-31033,Design & Illustration,,"In this tutorial you will learn how to create an amazing watercolor effect in Adobe Photoshop, with simple instructions for Photoshop beginners.","21130214,21561888"
11+ Best Political WordPress Themes for Campaign & Party Websites,23 May 2018,Brittany Jezouit,https://webdesign.tutsplus.com/articles/best-political-wordpress-themes-for-campaign-party-websites--cms-31048,Web Design,,"Create a winning website for your political campaign—the top WordPress themes and templates for campaigns, political parties, and candidates. ","113901,1720374,5748117,8689963,9091481,9545812,10051778,13185059,13392446,13913200,17456181,18710008,19822359"
Code an Image Gallery Android App With Picasso,24 May 2018,"Chike Mgbemena ",https://code.tutsplus.com/tutorials/code-an-image-gallery-android-app-with-picasso--cms-30966,Code,,"Picasso is a popular open-source Android library for loading both local and remote images. Learn how to easily use it for handling your image loading needs. ",
5 Amazing Assets for Awesome Architectural Photographers,23 May 2018,Marie Gardiner,https://photography.tutsplus.com/articles/5-amazing-assets-for-awesome-architecture-photography--cms-31173,Photo & Video,,"Architecture photography is powerful, impressive and let’s face it, fun! Whether or not you know your gothic from your brutalist, you’re bound to find some...",
How to Insert a Check Mark Symbol in PowerPoint PPT (In 60 Seconds),23 May 2018,Andrew Childress,https://business.tutsplus.com/tutorials/insert-a-check-mark-symbol-in-powerpoint-ppt--cms-31016,Business,,"How do you insert a check mark in PowerPoint? If you know whato do, its not hard. Learn how to make a check mark in PowerPoint in this short tutorial.",
Best WordPress Magazine Themes for Blog and News Websites,24 May 2018,Brenda Barron,https://webdesign.tutsplus.com/articles/best-wordpress-magazine-themes-for-blog-and-news-websites--cms-26506,Web Design,,"If you want to build a professional-looking blog or news website, this collection of the best WordPress magazine themes, updated for 2018, will help you...","11269863,11400130,11811123,12132780,12772303,12945398,13308848,13542402,13638827,13800118,14493994,14806079,16249526,16596434,19659555,20017242,20111764"
WordPress Gutenberg Block API: Creating Custom Blocks,23 May 2018,David Gwyer,https://code.tutsplus.com/tutorials/wordpress-gutenberg-block-api-creating-custom-blocks--cms-31168,Code,,In this tutorial you'll learn how to register blocks and use that knowledge to create a block to display a random image obtained via an external web service.,
20 Cool & Colorful Resume Templates (To Stand Out Creatively),22 May 2018,Andrew Childress,https://business.tutsplus.com/tutorials/cool-colorful-resume-templates--cms-31116,Business,,Use this selection of cool and colorful resume templates to stand out and become a top applicant.,"55049,1820628,3909052,5896454,6579192,6883758,9008743,9242222,10253040,11251846,12633036"
How to Create a Quick Burnt Wood Text Effect in Adobe InDesign,23 May 2018,Grace Fussell,https://design.tutsplus.com/tutorials/how-to-create-a-quick-burnt-wood-text-effect-in-indesign--cms-31045,Design & Illustration,,"This effect adds rustic charm to any typography, and is also a great way of mocking up logos or signage. Use Adobe InDesign’s Effects window to develop...",
Introduction to Popmotion: Pointers and Physics,23 May 2018,Matt Perry,https://code.tutsplus.com/tutorials/introduction-to-popmotion-part-2-pointers-and-physics--cms-30493,Code,,"With Popmotion, we can combine pointer tracking and physics to create engaging user interfaces.",
Shoot for the Edit: How to Capture the Best Video Footage for Color Grading,22 May 2018,David Bode,https://photography.tutsplus.com/tutorials/how-to-capture-video-footage-with-the-color-grade-in-mind--cms-31119,Photo & Video,,Learn how to shoot video using techniques that will help your video look its best during the color grade.,
30 Royalty-Free Cartoon Sound Effects,23 May 2018,Nona Blackman,https://music.tutsplus.com/articles/30-royalty-free-cartoon-sound-effects--cms-31098,Music & Audio,,"In this tutorial, I've listed the 30 most popular royalty-free cartoon sound effects to be found on AudioJungle. If you’re looking to bring some humour and...","262774,1871182,2579826,3248269,3269248,3373414,3475173,3509434,3515508,3693727,4067857,6965259,8015226,8962953,8967183,9477195,9528918,12943339,13089913,14315072,14662112,15146549,15295822,15376082,16061101,17788236,19535068,20259158,21042843,21239126"
How to Make Your Website With a Premium WordPress Theme,22 May 2018,Brenda Barron,https://business.tutsplus.com/tutorials/how-to-make-your-own-website--cms-31154,Business,,"A premium WordPress theme gives your site the edge it needs to stand out from the competition. Learn how to make your own website. ",6394476
How to Create a Sci-Fi Scan-Line Text Effect in Adobe Photoshop,22 May 2018,Rose,https://design.tutsplus.com/tutorials/quick-sci-fi-scanline-inspired-text-effect--cms-31070,Design & Illustration,,Use layer styles to create a super quick and easy sci-fi scan-line text effect in Adobe Photoshop.,
The Basics of Design Thinking,22 May 2018,Lorca Lokassa Sa,https://webdesign.tutsplus.com/articles/the-basics-of-design-thinking--cms-30426,Web Design,,"In this article we’ll look at “design thinking”—what it means, how it’s done, and where it’s well suited as a problem-solving approach.",
How to Create a Vector T-Shirt Mockup Template in Adobe Illustrator,22 May 2018,Vladimir Galantsev,https://design.tutsplus.com/tutorials/how-to-create-a-vector-t-shirt-mockup-template-in-adobe-illustrator--cms-31102,Design & Illustration,,In this tutorial you will learn how to create a vector T-Shirt mockup template using the Mesh Tool and how to recolor it in Adobe Illustrator!,4413689
How to Create a Sliced Mountain Effect Using Adobe Photoshop,23 May 2018,Laura Keung,https://design.tutsplus.com/tutorials/how-to-create-a-sliced-effect-using-photoshop--cms-30945,Design & Illustration,,Learn how to create a sliced effect in Photoshop by mimicking a 3D shape on a 2D image to give an object the illusion of being cut in pieces.,
Creating Your First App With Fuse,22 May 2018,Wern Ancheta,https://code.tutsplus.com/tutorials/creating-your-first-app-with-fuse--cms-30837,Code,,"In this tutorial, you'll learn how to build apps with Fuse. Specifically, you'll learn how to work with UX Markup, the various JavaScript APIs, and...",
What Are the WordPress PHP Coding Standards?,23 May 2018,Rachel McCollin,https://webdesign.tutsplus.com/tutorials/php-coding-standards--cms-31203,Web Design,,"What are the WordPress PHP coding standards? In this video from the course, Learn PHP for WordPress, you'll learn all about the coding standards and why...",
Illustrator in 60 Seconds: The Perspective Grid,21 May 2018,Andrei Stefan,https://design.tutsplus.com/tutorials/illustrator-in-60-seconds-the-perspective-grid--cms-31035,Design & Illustration,,Always wanted to use the Perspective Grid but never knew how? If that's the case then you should definitely check out this video which will help you...,
15 Free Premiere Pro Templates to Make Great Videos in 2018,21 May 2018,Andrew Childress,https://photography.tutsplus.com/tutorials/15-free-premiere-pro-templates-to-make-great-videos--cms-31128,Photo & Video,,Check out 15 of the web's best options for free Adobe Premiere templates that you can use for great videos.,"21470666,21489044,21676052,21729934,21781404"
Your First Wireframe With Adobe XD,21 May 2018,Babar Suleman,https://webdesign.tutsplus.com/tutorials/how-to-start-wireframing-with-adobe-experience-design-xd--cms-31185,Web Design,,This tutorial includes step-by-step instructions for designing the wireframes for your first mobile app,
New Course: Connect to a Database With Laravel's Eloquent ORM,22 May 2018,Andrew Blackman,https://code.tutsplus.com/articles/new-course-connect-to-a-database-with-laravels-eloquent-orm--cms-31183,Code,,"In our new course, Connect to a Database With Laravel's Eloquent ORM, you'll learn all about Eloquent, which makes it easy to connect to relational data in a...",
10 Best Premiere Pro Animated Title Templates for 2018,21 May 2018,Marie Gardiner,https://photography.tutsplus.com/articles/10-best-premiere-pro-animated-title-templates--cms-31169,Photo & Video,,Your opening titles are your first chance to really wow the audience. We’ve chosen 10 of the Best Premiere Pro Animated Title Templates from the talented...,"21633654,21651046,21671665,21683640,21707668,21707863,21709887,21810535,21874438,21890537"
How to Draw Ears,22 May 2018,Monika Zagrobelna,https://design.tutsplus.com/tutorials/how-to-draw-ears--cms-31011,Design & Illustration,,"In this tutorial I will explain the anatomy behind the shape of the ear, and I will also show you how to draw ears step by step in three views.",
How to Animate an Explosion in Toon Boom,21 May 2018,Sofia Abellera,https://design.tutsplus.com/tutorials/how-to-animate-explosion-effects--cms-30960,Design & Illustration,,Effects animation can be so mesmerizing to look at. Continue reading this tutorial to get a glimpse of how you can create your own!,
How to Back Up All Your Microsoft Outlook Emails,21 May 2018,Laura Spencer,https://business.tutsplus.com/tutorials/back-up-microsoft-outlook-emails--cms-31147,Business,,"If you need to learn how to backup Outlook emails, this tutorial is for you. You'll learn several different Outlook backup methods.",
Creating a Magnum Mecha Character in Maya: Part 4,21 May 2018,Soni Kumari,https://cgi.tutsplus.com/tutorials/creating-a-magnum-mecha-character-in-maya-part-4--cms-30067,3D & Motion Graphics,,"In this part of the series, I'll show you how to create hand and arm of the robot using polygonal modeling technique in Maya.",
How to Draw & Paint a Starry Unicorn Portrait in Adobe Photoshop,21 May 2018,Daisy Ein,http://design.tutsplus.com/tutorials/how-to-draw-paint-a-starry-unicorn-portrait-in-adobe-photoshop--cms-31047,Design & Illustration,,"Unicorns? Outer space? Why not both! In this Adobe Photoshop tutorial, we'll mix fantasy elements in an otherworldly portrait.",
20 Best WPBakery Page Builder Addons & Extensions of 2018,21 May 2018,Nona Blackman,https://code.tutsplus.com/articles/20-best-visual-composer-addons-extensions-of-2017--cms-28733,Code,,"With over 1 million users worldwide, the popular drag-and-drop page builder, WPBakery Page Builder (formerly Visual Composer), has inspired a legion of...","2568439,5195991,6892199,7049478,7155037,7190695,7338639,7731868,7789129,7854406,8729185,9526045,12642404,12778927,14429839,14445813,15534462,19341477,19734408,20142309,20374176"
Introduction to Popmotion: Tween,21 May 2018,Matt Perry,https://code.tutsplus.com/tutorials/introduction-to-popmotion-part-1-tween--cms-30431,Code,,"Popmotion is a tiny, powerful animation library. In the first part of our intro, we'll explore time-based animations like tween and keyframes.",
20 Vintage Photo Effect Photoshop Actions & Old Retro Styles,18 May 2018,Melody Nieves,https://design.tutsplus.com/articles/20-vintage-photo-effect-photoshop-actions-old-retro-styles--cms-31080,Design & Illustration,,Step back in time with an extraordinary photo effect! Today we bring you 20 amazing vintage and retro-inspired Photoshop actions from Envato Market and...,"20081677,20775368,21072355,21215002,21250467,21650465,21676851,21755914,21809703,21852429"
How to Make Curved Arrows in PowerPoint in 60 Seconds,18 May 2018,Andrew Childress,https://business.tutsplus.com/tutorials/make-curved-arrows-in-powerpoint--cms-31015,Business,,Learn how to make curved arrows in PowerPoint quickly and easily in this short video plus written tutorial.,
How to Use Movement Effectively in Your Travel Video,17 May 2018,Cindy Burgess,https://photography.tutsplus.com/articles/how-to-use-movement-effectively-in-your-travel-video--cms-31062,Photo & Video,,"It’s exciting to travel to a new place, exploring new locations and cultures.  Video is a great way to share these experiences, it’s one of the most powerful...",
How to Create a Comic Animation in CrazyTalk Animator 3,18 May 2018,Monika Zagrobelna,https://design.tutsplus.com/tutorials/how-to-create-comic-animation-in-crazytalk-animator-3--cms-31137,Design & Illustration,,"In this tutorial I will show you how to create a character in Photoshop, how to adjust it for animation, and how to import it to CTA3. Then you'll learn how...","120162,21652151,21718747"
New Course: Build a One-Page Website With Froont (No Coding Required!),18 May 2018,Andrew Blackman,https://webdesign.tutsplus.com/articles/new-course-build-a-one-page-website-with-froont-no-coding-required--cms-31184,Web Design,,"How do you like the idea of building a one-page website from scratch, without writing a single line of code? Our new course, Build a One-Page Website With...",
How to Get Beautiful Light in Your Travel Videos,20 May 2018,Cindy Burgess,https://photography.tutsplus.com/articles/how-to-beautifully-light-your-travel-videos--cms-31064,Photo & Video,,"It’s exciting to travel to a new place, exploring new locations and cultures.  Video is a great way to share these experiences, it’s one of the most powerful...",
Art for All: Celebrate Diversity in Design—Volume 9,18 May 2018,Melody Nieves,https://design.tutsplus.com/articles/art-for-all-celebrate-diversity-in-design-volume-9--cms-31010,Design & Illustration,,Welcome back to our Diversity in Design series on Envato Tuts+. Discover four talented artists with inspiring styles you'll love.,
"15 Top Handwriting Text After Effects Animation Video Templates  ",18 May 2018,Andrew Childress,https://photography.tutsplus.com/tutorials/15-after-effects-handwriting-animation-text-video-templates--cms-30930,Photo & Video,,See your text come to life with handwriting animations and these easy-to-use Adobe After Effects projects.,"127215,148243,162766,1614724,2533538,2544884,3020866,3210679,3732288,4779365,6903346,9929082,12324543,13788203,18031845"
Destructing Elements in Maya With PullDownIt: Part 1,20 May 2018,Uriel Deveaud,https://cgi.tutsplus.com/tutorials/destructing-elements-in-maya-with-pulldownit-part-1--cms-30058,3D & Motion Graphics,,"In this first part of the series, I'll show you how to download and install the PullDownIt plug-in in Maya and how to start working with the plug-in to...",
How to Use Lens Compression to Create Better Photographic Compositions,17 May 2018,David Bode,https://photography.tutsplus.com/tutorials/how-to-use-lens-compression-for-creative-composition--cms-31101,Photo & Video,,Learn more about using longer focal length lenses to create compression between the subject and background.,
How to Make a Real-Time Sports Application Using Node.js,18 May 2018,Jamie Munro,https://code.tutsplus.com/tutorials/real-time-sports-application-using-nodejs--cms-30594,Code,,Learn how using Socket.io with Node.js can help you create an application that seamlessly updates data in a web browser.,
15 Best Android App Templates of 2018,18 May 2018,Nona Blackman,https://code.tutsplus.com/articles/15-best-android-app-templates-of-2017--cms-29643,Code,,We've combed through the thousands of Android app templates available at CodeCanyon to find the 15 best of 2018. The templates we’ve chosen reflect the most...,"6512720,6827330,7054658,8431507,8747818,9858746,10747654,10771397,11395325,13706746,13965025,14781822,15831327,19626502,21213145"
30 Best Photoshop Collage Templates,17 May 2018,Melody Nieves,https://design.tutsplus.com/articles/30-best-photoshop-collage-templates--cms-27721,Design & Illustration,,"Photo collages are a great way to present your photography, artwork, and designs. Check out this collection of 30 premium Photoshop templates to display your...","2627722,3029281,4946182,5216830,5414420,5486717,5505083,5896156,6005064,6046974,6229700,6540292,6674714,6737088,6872460,7766733,7933875,8503358,9060167,10080819,10283989,10369037,10679264,11516767,11561580,13524721,13816023,13818607,13818892,17072964"
5 Amazing Visual Assets for Better News Video Broadcasts,17 May 2018,Marie Gardiner,https://photography.tutsplus.com/articles/5-amazing-assets-for-an-engaging-professional-news-broadcast--cms-31143,Photo & Video,,"Making your own news broadcast has never be easier or more affordable. With so many people giving it a go, how do you make sure that your broadcast is the...",
How to Draw All Crystal Shapes,17 May 2018,Monika Zagrobelna,https://design.tutsplus.com/tutorials/how-to-draw-all-crystal-shapes--cms-30955,Design & Illustration,,"If you want to draw crystals, first you need to answer a question: what crystals? There are so many shapes! Luckily, they all have something in common—they...",
How to Prepare Your Site for WordPress Gutenberg,17 May 2018,Kyle Speaker,https://code.tutsplus.com/articles/how-to-prepare-your-site-for-wordpress-gutenberg--cms-31150,Code,,Learn how to get your WordPress site set up for Gutenberg by creating a testing area and being aware of the main issues that you should watch for.,
How to Create a Llama Illustration in Adobe Illustrator,17 May 2018,Nataliya Dolotko,http://design.tutsplus.com/tutorials/how-to-create-a-llama-illustration-in-adobe-illustrator--cms-31040,Design & Illustration,,"Do you like llamas? Do you want to learn how to create them using basic shapes and warp effects? If so, then check out this tutorial!",
How to Use a Macro Lens to Photograph Incredible Details,16 May 2018,David Bode,https://photography.tutsplus.com/tutorials/how-to-use-a-macro-lens-for-incredible-detail--cms-31110,Photo & Video,,Learn how to use a lens to bring a small subject to life-size thanks to the magic of macro.,
21 Medical PowerPoint Templates: For Amazing Health Presentations,17 May 2018,Sean Hodge,https://business.tutsplus.com/articles/best-medical-powerpoint-templates--cms-27006,Business,,"Do you have a big medical or health presentation coming up quickly? If so, here's a curated selection of the best medical PowerPoint templates to help you out.","20,8050884,10348960,11401689,11569391,11816538,12664126,12953750,13231486,13624967,14387130,14942266,15182669,15298950,15301636,15999384,18381669,19055884,19222308"
20 Awesome Google Sheets (Spreadsheet) Tips & Tricks,17 May 2018,Andrew Childress,https://business.tutsplus.com/tutorials/awesome-google-sheets-spreadsheet-tips-tricks--cms-31058,Business,,Check out this round-up of 20 of the best Google Sheets tips to save you time and help you use Google spreadsheets easily.,
Introduction to Machine Learning in Python,16 May 2018,Esther Vaati,https://code.tutsplus.com/tutorials/introduction-to-machine-learning-in-python--cms-30623,Code,,"Machine learning is the act of giving computers the ability to learn without explicitly programming them. In this tutorial, we will talk about machine...",
How to Email & Share Keynote Presentations in 60 Seconds,16 May 2018,Andrew Childress,https://business.tutsplus.com/tutorials/how-to-share-keynote-presentations--cms-31014,Business,,Do you need to share your Keynote presentation through social media or email? Learn how quickly and easily in this short tutorial plus video.,
"How to Create a Quick, Wobbly, Warped Text Effect in Adobe Photoshop",17 May 2018,Laura Keung,https://design.tutsplus.com/tutorials/quick-tip-how-to-create-a-wobbly-text-effect--cms-30988,Design & Illustration,,The Liquify tool is not only useful for working with photographic images. In this tutorial we will be using the different options within this tool to add...,
"How to Use Systems Thinking to Enhance UX Design ",17 May 2018,Joanna Ngai,https://webdesign.tutsplus.com/articles/how-to-use-systems-thinking-to-enhance-ux-design--cms-31069,Web Design,,Use this mindset to focus on a high level view of the complexity of the systems in which your users and their organization operates.,
How to Create an Instagram Story Cover: Photoshop in 60 Seconds,16 May 2018,Melody Nieves,https://design.tutsplus.com/articles/how-to-create-an-instagram-story-cover-photoshop-in-60-seconds--cms-30911,Design & Illustration,,"Organize your Instagram stories with beautiful covers! In this video, instructor Melody Nieves will show you how to create three stunning covers using stocks...",
10 Awesome Premiere Pro Lower Thirds Video Templates,14 May 2018,Marie Gardiner,https://photography.tutsplus.com/articles/10-awesome-premiere-pro-lower-thirds-video-templates--cms-31133,Photo & Video,,"Lower thirds in film can vary between the unnoticeable, to downright unreadable, and everything in between. We’ve selected 10 of our favourite lower thirds...","21555204,21668554,21669422,21673932,21703626,21719016,21739374,21754042,21773705,21792523,21879662"
18+ Best SEO Optimized WordPress Themes for 2018 Sites,15 May 2018,Brenda Barron,https://business.tutsplus.com/articles/best-seo-optimized-wordpress-themes-for-2018--cms-30954,Business,,"An SEO optimized WordPress theme can affect how your website ranks in search engines. Use one of these SEO WordPress themes to attain higher SERPs.. ","8012838,11406126,12410192,14521258,14611596,16434080,16745629,19248787,19251961,19814399"
How to Create a Forest Self-Portrait Photo Manipulation in Adobe Photoshop,15 May 2018,Melody Nieves,https://design.tutsplus.com/tutorials/how-to-create-a-forest-self-portrait-photo-manipulation-in-photoshop--cms-30965,Design & Illustration,,"Turn your selfies into a work of art! In this tutorial, Melody Nieves will show you how to create a forest-inspired photo manipulation using custom stocks...",
How to Evaluate a WordPress Theme: 9 Key Things to Check,15 May 2018,Kezz Bracey,https://webdesign.tutsplus.com/tutorials/how-to-evaluate-a-wordpress-theme--cms-31097,Web Design,,"In this video from the course, WordPress Themes: Things to Check Before You Buy, you'll learn about nine key questions to ask when evaluating a WordPress theme.",
Introducing Fuse for Cross-Platform App Development,16 May 2018,Wern Ancheta,https://code.tutsplus.com/articles/introducing-fuse-for-cross-platform-app-development--cms-30793,Code,,"This article will introduce you to Fuse, a platform for developing high-performance cross-platform apps with UX Markup and JavaScript.",
The Top 7 Corporate Intranet & Extranet WordPress Themes,16 May 2018,Brittany Jezouit,https://webdesign.tutsplus.com/articles/top-corporate-intranet-extranet-wordpress-themes--cms-31006,Web Design,,"Keep your company connected! Here’s a roundup of the best WordPress themes and templates for intranets, extranets, and community websites. ","3146452,3713046,11671924,12087162,12275020,19195373,21281062"
Piano Playing any Drummer Will Respect: Part 1,16 May 2018,Zach Sprowls,https://music.tutsplus.com/tutorials/piano-playing-your-drummer-will-love-you-for-part-1--cms-31079,Music & Audio,,"Learn what the ""groove"" is, how a drummer sets it up, and how your piano playing can fit in with it.",
How to Create Custom Guides in Adobe Illustrator,15 May 2018,Andrei Stefan,https://design.tutsplus.com/tutorials/illustrator-in-60-seconds-how-to-create-custom-guides-in-ai--cms-31043,Design & Illustration,,"Always wanted to create custom guides from more intricate shapes but never knew exactly how? If that's the case, you should watch this quick video which will...",
How to Make Your Action Game More Engaging With Reload Mechanics,15 May 2018,Matthias Zarzecki,https://gamedevelopment.tutsplus.com/tutorials/how-to-make-your-action-game-more-engaging-with-interesting-reload-mechanics--cms-30634,Game Development,,"In this post, we'll take a look at how various games use weapon reload mechanics to create interesting and fun experiences.",
"How to Learn to Draw: Stage Two, Precision",16 May 2018,Monika Zagrobelna,https://design.tutsplus.com/tutorials/how-to-learn-to-draw-stage-two-precision--cms-23576,Design & Illustration,,"Do your proportions always look off, no matter what? Are you unable to copy a reference unless you trace it? Or maybe you feel your best pictures are a...",
Highlights of Google I/O 2018,15 May 2018,Jessica Thornsby,https://code.tutsplus.com/tutorials/highlights-of-google-io-2018--cms-31140,Code,,"And that’s a wrap! This year’s Google I/O has come to a close, and as usual there were lots of announcements and releases for developers to get excited...",
New Course: Convert a jQuery App to Vue.js,14 May 2018,Andrew Blackman,https://code.tutsplus.com/articles/new-course-convert-a-jquery-app-to-vuejs--cms-31142,Code,,Learn how to rewrite your existing jQuery code for Vue.js. You'll learn some of the reasons to upgrade to a modern web framework—and reasons for choosing Vue...,
How to Draw Vanilla Flowers With Mesh in Adobe Illustrator,14 May 2018,Vladimir Galantsev,https://design.tutsplus.com/tutorials/how-to-draw-vanilla-flowers-with-mesh-in-adobe-illustrator--cms-31020,Design & Illustration,,In this tutorial you will learn how to create a vector pair of vanilla flowers using the Mesh Tool in Adobe Illustrator!,6612651
20+ Best Law Firm Website Designs: Inspiration for Lawyers & Attorneys,14 May 2018,Brenda Barron,https://business.tutsplus.com/articles/best-law-firm-website-designs--cms-31066,Business,,"If you're trying to put together a law firm website design, then you're in luck. Here are some examples of the best law firm websites for inspiration. ",
How to Draw a Diamond,14 May 2018,Eugenia Hauss,https://design.tutsplus.com/tutorials/how-to-draw-a-diamond--cms-31000,Design & Illustration,,"Is it difficult to draw a diamond? In this tutorial, we’ll explore the classical shape of a round diamond in a side and top view.",
Getting Started With Cloud Firestore for iOS,11 May 2018,Doron Katz,https://code.tutsplus.com/tutorials/getting-started-with-cloud-firestore-for-ios--cms-30910,Code,,"Last year, Google announced yet another back-end database solution, Cloud Firestore, built from the ground up with the promise of greater scalability and...",
5 Amazing Assets for Perfect Landscape Photos Every Time,11 May 2018,Marie Gardiner,https://photography.tutsplus.com/articles/5-amazing-assets-for-perfect-landscapes-every-time--cms-31082,Photo & Video,,Landscape photography is so much more than just capturing a pretty scene. Is the light right? Which lens should you use? Will you need a filter? Even when...,
Creating a Unity Game With PlayMaker,14 May 2018,Sandy Gerber,https://gamedevelopment.tutsplus.com/tutorials/creating-a-unity-game-with-playmaker--cms-30437,Game Development,,"In this article, you will learn how to make a game object move in five minutes or less using the PlayMaker add-on for Unity, with no code. ",
What Is an Exit Interview? +10 Questions With Top Answers,11 May 2018,Charley Mendoza,https://business.tutsplus.com/articles/what-is-an-exit-interview--cms-31108,Business,,Do you have an exit interview coming up? Read this article to find out what to expect in an exit interview.,
How to Build a Sticky Sidebar on Page Scroll With ScrollMagic.js,14 May 2018,George Martsoukos,https://webdesign.tutsplus.com/tutorials/how-to-build-a-sticky-sidebar-on-page-scroll-with-scrollmagicjs--cms-31131,Web Design,,"In this tutorial we’ll use ScrollMagic.js, a popular JavaScript library, to build a sidebar that becomes sticky on page scroll.",
New Course: 6 Handy CSS3 Animation Projects,11 May 2018,Andrew Blackman,https://webdesign.tutsplus.com/articles/new-course-6-handy-css3-animation-projects--cms-31141,Web Design,,"Do you want to learn more about CSS3 animations? Our latest short course, 6 Handy CSS3 Animation Projects, gives you a quick, practical introduction.",
What Is Online Marketing? (Intro Guide for Small Business),12 May 2018,Celine Roque,https://business.tutsplus.com/tutorials/what-is-online-marketing--cms-31075,Business,,"Learn an online marketing definition, which strategies to use, and how to know if your strategies are working.",
How to Create a Layered Floral Typography Text Effect in Adobe Photoshop,14 May 2018,Rose,https://design.tutsplus.com/tutorials/how-to-create-a-layered-floral-typography-text-effect-in-adobe-photoshop--cms-26315,Design & Illustration,,"Learn how to create flower text art in Photoshop. Use a flower stock image, with a simple text, and a couple of layer styles, filters, textures, and...",12814109
